"Start","Stop","Length","Frame"
10558,11688,1131,1
31951,32262,312,1
33379,33708,330,1
85495,86124,630,1
86377,86796,420,1
107497,107925,429,1
108925,109332,408,1
149779,150087,309,1
155137,155790,654,1
187270,187626,357,1
196702,197031,330,1
198826,199371,546,1
200296,200637,342,1
207484,208125,642,1
208768,209067,300,1
211174,211653,480,1
248032,248643,612,1
294934,295281,348,1
311179,311574,396,1
328933,329232,300,1
380098,380487,390,1
381265,381648,384,1
397084,397476,393,1
436435,436746,312,1
437107,437418,312,1
452674,453054,381,1
503143,503451,309,1
507289,507606,318,1
548806,549582,777,1
561913,562380,468,1
562783,563121,339,1
565618,566253,636,1
584167,584568,402,1
596923,597378,456,1
601516,602022,507,1
615664,616107,444,1
616342,616962,621,1
619507,619863,357,1
622921,623487,567,1
627001,627573,573,1
629533,630060,528,1
642199,642720,522,1
643354,643953,600,1
644275,644799,525,1
651553,652497,945,1
655651,656109,459,1
657616,658014,399,1
660922,661233,312,1
661678,662001,324,1
662377,663696,1320,1
667597,668565,969,1
671563,671925,363,1
676921,677295,375,1
692830,693534,705,1
697054,697620,567,1
715507,715848,342,1
717295,717846,552,1
718213,718608,396,1
720544,720918,375,1
723745,724077,333,1
729859,730269,411,1
741730,742257,528,1
744433,744813,381,1
755620,755988,369,1
775084,775563,480,1
782689,783006,318,1
785131,785826,696,1
793114,793473,360,1
797089,797412,324,1
799027,799368,342,1
803587,804045,459,1
828232,828543,312,1
841915,842382,468,1
862612,862947,336,1
863644,864144,501,1
865009,865374,366,1
867475,868056,582,1
880768,881877,1110,1
882538,883107,570,1
883525,884010,486,1
890542,890865,324,1
893095,893430,336,1
893866,894582,717,1
900316,900921,606,1
907585,909099,1515,1
913114,913518,405,1
922291,922833,543,1
939040,939360,321,1
945193,945747,555,1
949501,949803,303,1
949993,950361,369,1
951589,952284,696,1
964942,965346,405,1
966469,966978,510,1
967699,968229,531,1
985927,986244,318,1
993019,993543,525,1
993649,994059,411,1
994573,994926,354,1
996931,997398,468,1
998428,998805,378,1
1010191,1010490,300,1
1014085,1015083,999,1
1015807,1016268,462,1
1016290,1016817,528,1
1017634,1018143,510,1
1018270,1019358,1089,1
1019683,1020156,474,1
1020169,1020540,372,1
1020712,1021095,384,1
1022875,1023447,573,1
1023724,1024047,324,1
1025407,1025760,354,1
1026247,1026771,525,1
1030273,1030776,504,1
1044877,1045197,321,1
1046326,1046625,300,1
1073116,1073508,393,1
1079830,1080165,336,1
1082482,1083039,558,1
1106875,1107717,843,1
1140616,1141005,390,1
1144435,1144833,399,1
1145470,1145862,393,1
1157983,1158378,396,1
1162687,1163088,402,1
1163725,1164249,525,1
1165726,1166052,327,1
1168738,1169325,588,1
1171288,1171728,441,1
1172155,1172577,423,1
1180093,1180425,333,1
1187374,1189020,1647,1
1189315,1189734,420,1
1190812,1191138,327,1
1202425,1202829,405,1
1205950,1206249,300,1
1210291,1210776,486,1
1214299,1214736,438,1
1218856,1219623,768,1
1224028,1224489,462,1
1229590,1229982,393,1
1232950,1233525,576,1
1235338,1235730,393,1
1238668,1239273,606,1
1239889,1240404,516,1
1242511,1243431,921,1
1244362,1244922,561,1
1254250,1254552,303,1
1261111,1261464,354,1
1266265,1266663,399,1
1268533,1268958,426,1
1279615,1279953,339,1
1286128,1286607,480,1
1289356,1290402,1047,1
1290661,1290969,309,1
1304860,1305498,639,1
1309438,1309752,315,1
1310614,1311405,792,1
1312648,1312962,315,1
1320763,1321254,492,1
1322380,1322721,342,1
1323322,1323630,309,1
1325503,1326102,600,1
1327537,1328322,786,1
1332202,1332663,462,1
1346080,1346418,339,1
1346941,1347255,315,1
1351444,1351776,333,1
1358341,1358712,372,1
1359100,1359531,432,1
1364695,1365081,387,1
1366444,1366749,306,1
1369096,1369545,450,1
1373236,1373691,456,1
1375240,1375590,351,1
1378123,1378422,300,1
1378915,1379460,546,1
1388356,1389519,1164,1
1395067,1395705,639,1
1398766,1399092,327,1
1403815,1404789,975,1
1412443,1412748,306,1
1481248,1481604,357,1
1490935,1491276,342,1
1493854,1494408,555,1
1494700,1495008,309,1
1504132,1504707,576,1
1509052,1509465,414,1
1510321,1510686,366,1
1514890,1515378,489,1
1516090,1516683,594,1
1516792,1517223,432,1
1520914,1521450,537,1
1522066,1523136,1071,1
1524415,1524777,363,1
1533556,1533960,405,1
1538659,1539027,369,1
1541671,1542225,555,1
1543063,1543503,441,1
1546093,1546464,372,1
1549153,1549524,372,1
1550512,1550844,333,1
1553113,1553718,606,1
1557031,1557432,402,1
1559071,1559619,549,1
1564309,1564956,648,1
1569055,1569396,342,1
1585261,1585593,333,1
1596580,1597128,549,1
1598206,1599075,870,1
1602982,1603500,519,1
1603612,1603935,324,1
1615798,1616100,303,1
1616896,1617762,867,1
1620406,1620915,510,1
1623211,1623618,408,1
1625962,1626282,321,1
1627606,1627977,372,1
1629187,1629582,396,1
1629739,1630638,900,1
1631212,1631649,438,1
1632823,1633371,549,1
1637146,1637460,315,1
1642504,1643322,819,1
1645648,1645989,342,1
1653574,1654860,1287,1
1656253,1656612,360,1
1659961,1660551,591,1
1672864,1673517,654,1
1678906,1679352,447,1
1685902,1686549,648,1
1692577,1692876,300,1
1702075,1702386,312,1
1713883,1714272,390,1
1717117,1717560,444,1
1719328,1719930,603,1
1722226,1722594,369,1
1746142,1746696,555,1
1748155,1748466,312,1
1750990,1751337,348,1
1752118,1752813,696,1
1753822,1754139,318,1
1755352,1755651,300,1
1757116,1758021,906,1
1759174,1759884,711,1
1763047,1763535,489,1
1768609,1769067,459,1
