"Start","Stop","Length","Frame"
69940,70347,408,1
74296,74607,312,1
102970,103329,360,1
112630,113526,897,1
126661,127503,843,1
138439,138810,372,1
143380,143907,528,1
144364,144696,333,1
214726,215151,426,1
254686,255075,390,1
267826,268182,357,1
274222,274530,309,1
277978,278277,300,1
437815,438165,351,1
457369,457737,369,1
503917,504282,366,1
517951,518253,303,1
531919,532305,387,1
611419,611778,360,1
616858,617331,474,1
631699,632103,405,1
640783,641142,360,1
687838,688149,312,1
692698,693390,693,1
713335,713649,315,1
714940,715323,384,1
717892,718218,327,1
736669,737001,333,1
741532,741837,306,1
747721,748215,495,1
774436,774756,321,1
788899,789267,369,1
836212,836658,447,1
840349,840729,381,1
841150,841461,312,1
864814,865212,399,1
922567,922872,306,1
926488,927036,549,1
945910,946425,516,1
960229,960600,372,1
965902,966246,345,1
1022338,1022718,381,1
1060654,1061004,351,1
1099675,1100004,330,1
1122286,1122606,321,1
1239652,1239951,300,1
1261765,1262601,837,1
1262725,1263396,672,1
1265569,1266249,681,1
1280260,1280607,348,1
1288540,1288875,336,1
1300411,1300716,306,1
1383193,1383495,303,1
1412791,1413144,354,1
1426996,1427448,453,1
1427491,1428273,783,1
1534924,1535316,393,1
1555558,1555905,348,1
1600549,1601166,618,1
1634218,1634895,678,1
1651240,1651749,510,1
1692004,1692339,336,1
1745110,1745472,363,1
1894102,1894404,303,1
1960327,1960836,510,1
1983304,1983618,315,1
2087527,2088060,534,1
2088151,2088522,372,1
2092225,2092590,366,1
2095912,2096361,450,1
2117677,2118000,324,1
2130019,2130696,678,1
2130793,2131149,357,1
2170603,2170932,330,1
2213194,2213892,699,1
2320204,2320650,447,1
2323885,2324295,411,1
2341084,2341443,360,1
2341567,2341890,324,1
2367196,2367510,315,1
2380327,2380671,345,1
2386888,2387187,300,1
2387932,2388375,444,1
2395075,2395578,504,1
2397700,2398008,309,1
2399290,2400135,846,1
2408470,2409009,540,1
2413771,2414268,498,1
2417164,2417673,510,1
2421181,2421573,393,1
2423926,2424414,489,1
2426134,2426475,342,1
2427436,2427882,447,1
2445010,2445309,300,1
2471545,2471892,348,1
2473135,2473434,300,1
2481397,2481987,591,1
2484598,2485098,501,1
2522200,2522613,414,1
2522614,2523348,735,1
2530267,2530581,315,1
2531872,2532189,318,1
2568985,2569494,510,1
2595655,2596065,411,1
2630980,2631351,372,1
2637184,2637558,375,1
2638357,2638662,306,1
2665405,2665839,435,1
2671477,2672127,651,1
2672839,2673306,468,1
2727790,2728095,306,1
2739322,2739651,330,1
2740972,2741424,453,1
2751931,2752488,558,1
2829628,2830059,432,1
2851120,2851716,597,1
